text,type,label,word_count
Hi Im calling from XYZ Delivery Services I just wanted to confirm that youre available to receive your package today Its for the new smartphone you ordered online Let me check on that real quick Okay it says here that you ordered an iPhone 13 and its scheduled to be delivered today between 24 pm Absolutely The order number is 123456 Would you like me to look up more information on the order No worries at all Mistakes happen Let me just cancel the delivery for you then Ha ha nope Were a legitimate delivery service We just want to make sure our customers get their packages safely Aw thank you We appreciate your understanding Is there anything else I can assist you with today,delivery,0,
good afternoon i’m janice nature hikes noticed there’s spot open saturday’s tour you’d like join,,0,15.0
car repossessed pay 500 cancel order database error pay avoid problems,,1,11.0
hi i’m manager airbnb reservation due payment issues give card rebooking payment accepted,,1,13.0
facebook lottery team profile pic selected 2500 prize give bank info payout funds arrive shortly,,1,15.0
Hello my name is Karen and Im calling from XYZ Marketing Were offering a special deal on our new cleaning products Well weve been doing some research and it seems like a lot of people in your area have been interested in our products Ah no We actually partnered with a local business to get a list of their customers who might be interested in our products Yes thats correct We wouldnt use any illegal or unethical methods to obtain customer information Were offering 20 off our entire line of cleaning products for firsttime customers Absolutely XYZ Marketing has been around for over 10 years and we have an A rating with the Better Business Bureau,telemarketing,0,
Hello congratulations Youve been selected to receive a free 500 gift card from a major retail store You were randomly chosen from our database of loyal customers No catch at all We just need to verify some information to ensure youre eligible Can you please confirm your name and address I apologize but for security reasons we need to verify your identity Uh about 6 months now Ah yeah My supervisors name is John Smith Hes not available right now but I can transfer you to him if youd like Its a digital card and well email it to you once we verify your information Oh sorry about that Its uh Amazon Yes Amazon is sponsoring this promotion,reward,1,
hi rachel foodexpress takeout order arrive 20 minutes,,0,8.0
eric support see work laptop pending updates when’s good time assist,,0,11.0
hello community art studio pottery class starts wednesday,,0,8.0
hi julia petsmart cat food order ready pickup yes you’re good,,0,11.0
hi julie town cleaners suit ready pickup,,0,7.0
hi dave express cleaners left set keys jacket pocket we’ll keep safe come,,0,13.0
Hello my name is John and Im calling from Windows Technical Support Weve received a notification that your computer has been infected with malware Well we have a system in place that monitors all Windows computers and alerts us when theres a problem Can you please turn on your computer and let me guide you through the process to remove the malware My employee ID is WTS1234 And the phone number is 1800WINDOWS But let me assure you maam this is a legitimate call Were trying to help you protect your computer I apologize for the confusion Maybe its a new system were implementing Anyway can we please focus on fixing your computer Every minute counts when it comes to removing malware Its a type of Trojan horse virus that can steal your personal information and credit card numbers But dont worry we can remove it remotely if you just give me access to your computer Well its usually through suspicious emails or downloads from untrusted websites But like I said we can fix it easily if you just cooperate with me Ah maam this is a complimentary service provided by Windows Technical Support You wont have to pay a dime Theres no catch We just want to help our customers protect their computers Sure thing,support,1,
hi i’m charity children’s health count donation today children’s health international donate giving card number,,1,15.0
i’m loan department preapproval ready need banking details begin,,1,9.0
hello lisa dr fournier’s office wanted remind dental appointment tomorrow 10 insurance card new one please arrive ten minutes early,,0,20.0
you’ve reported suspicious activity whatsapp click link inbox verify identity it’s automated process act prevent deactivation,,1,16.0
good afternoon i’m condo association scheduled fire alarm testing friday,,0,10.0
Hi Im calling to confirm the delivery of your new phone Its 1234 Let me check Ah yes its a Samsung Galaxy S22 According to our records you paid with your Visa card ending in 1234 No maam this is a legitimate call from XYZ Phone Company Were just trying to confirm your delivery details,delivery,0,
there’s unauthorized use loyalty card give us number restore points,,1,10.0
hi it’s fiona red cross blood drive still scheduled donate 3 pm friday,,0,13.0
shopping account suspicious activity give card login reset it’s faster safer via phone,,1,13.0
hi mom calling let know landed safely little bumpy made i’ll send pictures soon,,0,14.0
good morning mr singh order arrived warehouse ready delivery,,0,9.0
we’re calling recent banking transaction please confirm last three withdrawals proceed,,1,11.0
friend stranded abroad—send emergency funds,,1,5.0
hello jamie elite tutors checking you’re confirmed 5 pm math session tomorrow,,0,12.0
please complete online dating profile sending bank information,,1,8.0
phone warranty expire renew coverage give phone’s imei credit card info,,1,11.0
good afternoon i’m student collecting charity donate via paypal local food bank,,1,12.0
selected limitedtime investment scheme guaranteed returns transfer funds see money double,,1,11.0
hi ben order bakery ready pickup 4 pm today,,0,9.0
hi paul riverbank inn we’re confirming reservation friday april 12th,,0,10.0
hi mrs palmer it’s linda dental office found sunglasses,,0,9.0
i’m calling recent car accident you’re eligible compensation perhaps family member confirm address claim process,,1,15.0
hi im calling sun valley pharmacy prescription ready picked would prefer curbside pickup come inside,,0,15.0
Hi is this John Oh Im so sorry I was trying to reach my friend John Nice to meet you Sarah My name is Mike Okay sorry again for disturbing you Have a good meeting,wrong,0,
nick leave umbrella place i’ll bring work tomorrow,,0,8.0
hello it’s cindy supermarket special order almond butter we’ll hold customer service,,0,12.0
Hello is this Mrs Johnson My name is David and Im calling from the consumer reward center How are you today Weve been trying to reach you for a while now Youve been selected to receive a 500 gift card from one of our major retailers Its Walmart All you need to do is provide some basic information to verify your identity and well send it right out to you Just your full name address and social security number Its just a precaution to prevent fraud Dont worry its completely safe and secure We get our information from public records and surveys Sometimes people fill out surveys online or at stores and their names get entered into our database It will be mailed out to you within 35 business days But I need to let you know that theres a small shipping and handling fee of 20 that needs to be paid upfront,reward,1,
win designer handbag pay shipping,,1,5.0
hi joanne rachel book club able host next month’s meeting thanks i’ll let group know,,0,15.0
friend sent money transfer claim sharing bank account routing number confidentiality rules prevent disclosure provide info,,1,16.0
court summons jury duty verify identity ssn address,,1,8.0
hello you’ve 500 gift card online sweepstakes need address little fee process delivery email selected random small processing fee guarantees win delivered safely shall guide payment,,1,26.0
Hello congratulations Youve been selected to receive a 1000 gift card from one of our major retailers You were chosen randomly from a pool of customers who have shown excellent payment history and credit scores Oh no theres no catch Its completely free We just need to verify some information to ensure were sending it to the right person Just your name address and social security number I understand your concern but our system requires the social security number for verification purposes Its completely secure and confidential I assure you Ah great question You can choose from any of our participating retailers including Walmart Target or Best Buy Weve been in business for over 10 years and have given away thousands of gift cards to deserving customers like yourself Uh our company name is um GiftCard Rewards Inc and our website is ah giftcardrewardscom Absolutely This is a 100 legitimate offer Were a reputable company and we would never try to scam anyone,reward,1,
hi angela maple community center left backpack yesterday,,0,8.0
good evening hal rose garden apartments wanted update maintenance request scheduled wednesday 10 noon,,0,14.0
hi karen school transportation tomorrow’s bus route change due construction check website details,,0,13.0
smartphone share billing address shipping,,1,5.0
you’re owed compensation accident file claim provide medical history bank info,,1,11.0
tax refund couldn’t delivered bank details need verified,,1,8.0
hello we’ve detected security breach paypal account please provide login credentials secure thank we’ll secure straight away,,1,17.0
hello apple support apple id locked security reasons respond apple id password unlock unfortunately solved phone please provide details,,1,19.0
state lottery payout pay processing tax first,,1,7.0
Hello this is John from Microsoft technical support Weve received a notification that your computer is infected with a virus Well we have a system in place to detect these types of issues Can you please tell me what kind of computer youre using right now Yes its a very serious issue If you dont take care of it immediately it could cause significant damage to your system and compromise your personal information Okay so first I need you to go to this website and download a program that will scan your computer for the virus Yes its completely legitimate Its our official Microsoft website Uh let me check on that  You can call this number to verify my credentials The virus is called uh Windows Defender Virus And it works by uh stealing your passwords and credit card information Okay fine So like I said first you need to download the program from our website,support,1,
parcel customs review confirm payment release depends check verifying details,,1,10.0
i’m calling medical alert system time renew,,1,7.0
call windows support detect malware pc please allow us remote access,,1,11.0
Hello this is John from Windows Technical Support Weve been getting notifications that your computer is infected with malware We have a team of experts who monitor these things Your IP address has been flagged as having suspicious activity Well weve detected that your computer is sending out spam emails and downloading unauthorized software Of course sir First I need you to open up the Event Viewer on your computer Can you do that for me Yes exactly Its a builtin tool that shows us whats going on with your system Just press the Windows key  R and type in eventvwr and hit Enter You should see a bunch of errors and warnings Can you tell me what you see,support,1,
good morning angela florist bouquet anniversary ready delivery 4pm someone home receive,,0,12.0
Hello is this John My name is Officer Johnson from the Social Security Administration Weve been trying to reach you about a serious issue with your social security number Its been compromised and we need to verify some information to secure your account Were not entirely sure but we think it might be related to a recent data breach Can you please confirm your social security number so we can look into it further I understand your concern but this is a highpriority matter If you dont cooperate your benefits might be suspended Ah let me check on that Okay your case number is uh SSA1234 I assure you sir this is a legitimate call If youre still unsure I can transfer you to my supervisor Well need to set up a new password and verification process Can you please purchase a 200 gift card and read me the numbers on the back This will help us activate the new security features Im afraid it doesnt work that way sir The gift card is necessary for the encryption process Look sir time is of the essence here Are you going to cooperate or not,ssn,1,
hello we’re updating insurance policy provide ssn records policies require fresh verification,,1,12.0
hello jane peter northside nursery plant delivery arrive 2 4 tomorrow,,0,11.0
netflix needs payment info technical upgrade,,1,6.0
account randomly selected upgrade share credentials continue,,1,7.0
hello apple id locked share credentials unlock,,1,7.0
Hello is this Mr Johnson My name is David and Im calling from the Consumer Protection Agency Weve been getting a lot of complaints about a company thats been scamming people out of their money Its a company called Quick Cash Loans Have you ever dealt with them Well weve shut them down and were issuing refunds to all their victims Youre eligible for a refund of 5000 Okay I just need to verify some information first Can you tell me your social security number and bank account number so I can process the refund No we need to make sure the refund goes into the right account And we cant issue checks anymore due to new regulations Sorry but we need that information right now or well have to close your case Sir are you still there,refund,1,
good morning landscaping crew arrive tomorrow scheduled 8,,0,8.0
i’m distant relative trouble overseas wire money urgently,,1,8.0
dear customer free vacation anywhere choose provide credit card reservation security deposit that’s,,1,13.0
amazon account closed due suspicious activity please log using link i’m sending,,1,12.0
good morning pam riverside realty need reschedule apartment viewing would saturday work instead,,0,13.0
Hello is this 5551234 Im trying to reach John Smith Is this his number Oh Im so sorry I must have dialed wrong Can you tell me whose number this is Okay thank you for your help I apologize again for the mistake,wrong,0,
mobile plan qualifies free upgrade need password process,,1,8.0
hi amy vet benny need booster shot two weeks would like set appointment,,0,13.0
you’ll arrested missing jury service unless pay fine urgently,,1,9.0
hello julian northside auto car ready pickup,,0,7.0
Hello is this Mr Johnson My name is Officer Thompson from the Social Security Administration Weve had some suspicious activity on your social security number and we need to verify some information to protect your identity It appears someone has been using your social security number to open credit cards and make purchases We have our ways of monitoring these things But like I said we need to verify some information to clear up this matter Can you please confirm your social security number for me Im afraid its not that simple Our system is down for maintenance and I need to verify it manually I understand your concern sir But this is a matter of urgency If we dont resolve this issue today your social security benefits may be suspended Ah my badge number is 34562 You can definitely call us back to verify Uh wellIm not really at liberty to discuss that right now We just need to focus on resolving the issue at hand No problem sir Please do call back as soon as possible so we can resolve this matter,ssn,1,
i’m tech support specialist you’ve hacked let clean files log,,1,10.0
hi i’m techfix received laptop diagnosing issue,,0,7.0
charity sweepstakes ends today pay 10 card chance win huge prizes global benevolence—we’re licensed prize distribution,,1,16.0
police investigating crime area provide info verification,,1,7.0
Hi my name is John and Im calling from XYZ Insurance Company How are you today Were offering a special promotion on our life insurance policies and I was wondering if youd be interested in learning more about it Well were offering a 10 discount for new customers who sign up within the next two weeks Its a great opportunity to get quality coverage at an affordable price Absolutely Our policy provides a range of benefits including a death benefit funeral expenses and even some living benefits in case of terminal illness We also have a 30day moneyback guarantee Of course Our license number is 123456 and our physical address is 123 Main Street Anytown USA You can verify that information on our website or through the state insurance departments website I completely understand As a matter of fact I used to work in law enforcement before getting into the insurance industry so Im very familiar with scams and fraud My goal is to provide honest and helpful service to our customers,insurance,0,
hi cindy freshmart confirming grocery delivery today 2 4 pm great we’ll text we’re way,,0,15.0
hi kelly it’s amy gym class coach dylan starting 10 minutes,,0,11.0
hello i’m calling hardware store let know order ready collection,,0,10.0
good afternoon it’s jasmine lakeside animal clinic checking see bella vaccinations last week,,0,13.0
hello i’m bicycle shop part requested come in—we schedule installation want friday works we’ll see,,0,15.0
Hello my name is Karen and Im calling from XYZ Marketing How are you today Were offering a special deal on our premium kitchen utensils set which includes a free cookbook Would you be interested in learning more Absolutely Were a reputable marketing firm thats been in business for over 10 years We obtained your number from a public directory Ah yes Our utensils are made from highquality stainless steel thats durable and resistant to corrosion And the cookbook is written by a renowned chef No were not affiliated with any charity organizations Were a forprofit company and our goal is to provide quality products to our customers Oh really Well Im glad I could pass the test Its unfortunate that there are so many scammers out there but were genuinely trying to provide good products and services Thank you so much I appreciate your honesty as well If you do decide to make a purchase please let me know and Ill make sure to give you the best deal possible,telemarketing,0,
hi retirement account closed don’t verify,,1,6.0
Hello is this 5551234 Im trying to reach Johns Pizza Is this the right number Oh Im so sorry Can you tell me what number I dialed Thats weird I couldve sworn I dialed the right number Do you know the number for Johns Pizza Okay thanks for your help Sorry again for the mistake,wrong,0,
Hello this is Officer Johnson from the Social Security Administration Weve had a report of suspicious activity on your social security number It appears someone has been using your social security number to commit fraud We need to verify some information to clear up the issue Id be happy to explain But first can you please confirm your social security number for me Maam I assure you I am who I say I am Your social security number is already compromised We just need to update our records with the correct information Well it looks like there was a data breach at one of our thirdparty vendors But dont worry were taking care of it Now about that social security number Uh let me check on that real quick  Ah yes it was uh TransUnion Excuse me Im just trying to help you resolve the issue Look lady I dont have time for this If you dont cooperate well have to send the police to your doorstep,ssn,1,
medical insurance claim denied help appeal small processing charge,,1,9.0
