SCAM_TYPE,TEXT
2,This is an official notification that legal action has been taken against you. Please get back to us immediately at 804-209-1005 for more information and next steps. Press “one” now to speak with our executive.
2,"Hello Mr/Mrs. X, my name is Y and I work in the IRS. You are being charged with reporting false taxes, and this is a courtesy call to make you aware of this. Please call me back at <phone-number> as soon as you can or elseI will need to pursue with legal action."
2,"Your car had been parked in a no-parking zone and the LAPD and has been towed away. Legal proceedings will begin next Monday. If you wish to avoid these legal proceedings and the charges associated with them, call us as soon as possible on 804-207-XXXX* - I repeat, 804-207-XXXX*. Thank you. Have a nice day."
2,"This call is from Bret and Johansson law firm to inform you that we are filing a lawsuit against you. To get more information on this, please dial 804-207-XXXX*. I repeat, 804-207-XXXX*. If we do not hear back from you within the next 24 hours, we will begin with the legal proceedings immediately. Thank you."
2,"Hello, we have traced some illegal activities to you. Please call 804-207-XXXX* - that is - 804-207-XXXX*. If we do not hear from you we will take legal actions against you. If you wish to speak to our executive, press one now. I repeat, if we do not hear back from you within 24 hours, legal actions will be taken against you. Thank you."
2,We have a video showing a car crash involving a car registered on your name. You have 24 hours to call 804-207-XXXX* to provide us with details before we take legal action against you. We we will start legal proceedings the day after tomorrow if we don’t hear from you.
2,"Please call us back as soon as possible at 804-207-XXXX*. Again, our phone number is 804-207-XXXX*. If we do not hear from you, we will take legal action. Thanks. Press one to transfer your call to our representatives."
2,"Please call 804-207-XXX* as soon as possible. I repeat, 804-207-XXX*, prior to the start of our legal proceedings. Thank you, hope you have a nice day. Press “one” now if you wish to speak with an executive."
2,"Please call our number 804207XXXX immediately as we are proceeding with the legal case associated with your name. Thank you for your cooperation. If you would like to speak to an official, press 1."
2,"Please contact us immediately on our number which is 804-207-XXXX*, I repeat , 804-207-XXXX*. before we get legal proceedings started. Thank you and have a nice day. If you like to speak to our executive, then press ""one"" now."
2,"Kindly revert as soon as possible on our number, that is 804-207-XXXX* - I repeat, 804-207-XXXX* - before we begin with the legal proceedings. Thank you. Have a nice day. If you wish to speak with our executive, then press ""one"" now."
2,"please contact our phone number 804-207-XXXX as soon as possible. I repeat 804-207-XXXX, if you want to talk to the executive manager press one."
2,"This message means that a legal action has been taken against you. for more information about how to avoid the consequences, call the number xxx immediately."
3,"You’re saying you never received any documents from us in which you owed $5,821.00, sir?"
3,"May I explain again, sir?"
3,"We have audited your tax returns between the years 2009 and 2014. Unfortunately, you owe $5,821 in federal taxes. Your case will be handled by the court of law. If you do not comply, your bank account will be seized, your credit report will be spoiled, and your passport and drivers license will be suspended."
3,"Sir, I can’t hear you. Please stop walking and talk to me first."
3,Yes.
3,"Sir, you’re being audited because your taxes have not been filed correctly during the years I previously mentioned. There were inconsistencies with your W-2 and W-4 forms. The IRS has now issued an arrest warrant on your name. Once you are arrested, your property will be seized to pay off your debt. For example, your house, your cars, and your IDs will become property of the IRS."
3,Do you have the money with you?
3,Do you want this matter be confidential?
3,"We will not alert the authorities if you remain compliant. Remain on the line with us, and let us know once you have the money."
3,"No sir because once I hang up this call you will be arrested. You will be arrested at your work place, sir. Take your leave from work, now, sir."
3,"Now if you tell your boss that you are getting arrested, don’t you think your job will be at risk?"
3,Tell him you’re having an emergency so you can go home for an hour.
3,"Sir, you still owe $4,308 on your taxes. You should have paid that with your tax return, but we have it recorded that you did not pay that amount."
3,"I don’t know what you use for your taxes, but according to our records, you still owe $4,308."
3,"I have the information up in front of me; I’ll walk you through it. We have an audit of your taxes for the 2018 fiscal year. You owed $4,008, but since you did not pay it by the deadline, there is an added late fee of $300, so altogether you owe $4,308. The IRS filed a case against you in February and the court approved it last week."
3,"Yes, I see that you submitted everything, but it looks like the tax withholdings on your paychecks were incorrectly reported for 2018. That is considered fraud, so the IRS now have a warrant for your arrest and the police have already been notified."
3,"You’ll get arrested and everything you have will be seized. This includes your bank accounts, your credit cards, property you own, and things like that."
3,"Unfortunately, this is in regards to your federal taxes, so it’s coming from the federal level. The state policies are more lenient than the federal policies. Under federal law, anything in your name, even jointly, will be seized, so that includes the house and your bank accounts."
3,"But that’s why I’m calling you, sir. If you pay the amount you owe now, I can contact the police and stop the arrest. Do you have $4,308 right now?"
3,"You will need to go to your nearest store and buy a VISA pre-paid card for $4,308."
3,"This is time-sensitive, sir. The police are already on their way, so if you don’t do this right now, it will be too late."
3,"I’m sorry, sir. I am not allowed to stop them until the payment is complete. Tell your boss that you have a family emergency and you need to leave. You can be back in under an hour so you won’t need to use sick time. You can stay later to make it up."
3,The police will be there by then to arrest you. You need to go right now. Stay on the phone and go buy the card. You can be back before the meeting ends and your boss won’t even know.
3,Just stay on the phone so I can make sure the police don't arrest you.
3,"The IRS documentation shows that you’ve received $3,281.00. Did you receive it?"
3,"Well, based on our tax records from 2009 to 2014, we found that you owed the IRS $3,281. By law, if you don’t repay the IRS now, all your assets, including your state ID, will be seized."
3,"I unfortunately don’t know the answer to that. But, the current situation is that if you don’t repay the IRS now, your assets will be seized and you’ll get arrested. In this case, it’s likely that your lease application won’t go through. Do you have the money with you now?"
3,"Do you want me to tell you about your case now or do you want it to be confidential, in which case I’d need to call you back in a bit."
3,Ok. When should I get back to you?
3,Excuse me?
3,"Sir, I don’t think you understand the severity of this case. If you hang up or if you continue to play around, you’ll be arrested. You need to take action right now."
3,"Hello Mr/Mrs. X, my name is Y and I work in the IRS. Our records show that you owe a tax amounting to the sum of $XXXX.XX. If you do not immediately pay the tax of $XXXX.XX, then we will issue an arrest warrant in your name for tax evasion."
3,"Hello Mr/Mrs X, hello hello. Please listen closely to me. There is a way for you to pay up the taxes you owe without it being on your record, since this is only the first offense. Can you hear me?"
3,Don't worry sir / miss. We will take care of you and make sure that this all gets sorted out. But you need to listen very closely to what I tell you.
3,"Thank you for listening sir / miss. You need to send us the money immediately via Moneygram or Western Union Bank. This can be obtained by going to your local convinience store, and asking to transfer $XXXX.XX from your bank account to the account I tell you. Does this make sense?"
3,"Ok. Please call me back within an hour at <phone-number> with the money. Please note that if I do not recieve a call within the next hour, then I will be activating the arrest warrant. Thank you."
3,Am I speaking to Mr. John Doe?
3,My Name is Neil Reiss and I am calling you from the Department of Internal Revenue Service. The IRS.
3,It has come to our attention that you haven’t filled taxes during the years 2011 to 2016.
3,This is sir because you filed taxes but your taxes have not been filed incorrectly for those years. There was some problem regarding a W-2 and W-4 form.
3,"It's $5,868. The pending amount under your name."
3,"This is including the penalty amount, the late payment charges, as well as all of the court resolution fees because the case has already been filed under your name."
3,"Since you haven’t paid your dues, a case had been opened in your name a few weeks ago. You should have received a mail regarding the same. In a few days, the arrest warrant will also be issued under your name."
3,Under your name. The arrest warrant will also be issued under your name.
3,"Arrest warrant, sir. Arrest."
3,Arrest warrant? Did I get an arrest warrant under my name?
3,Sir you will have to pay your dues if you do not want to be arrested. I can try to stall the court proceedings but you need to pay your dues.
3,You do not have to pay me any amount. I am merely an employee of the IRS. Please transfer the money to the IRS. The account details will be sent to you.
3,Have a good day sir.
3,Are you telling me that you never received any document from IRS stating that you owe $5821.00?
3,"Sir, I believe you are confused. you don’t have to go the bank. Can I explain to you once again?"
3,"We were running an audit on your tax files for the last five years and we determined that you did not file your taxes right. IRS has determined that you owe $5821 in tax. Today is the last day for you to repay the taxes. If not, once the case is over, your bank account will be seized and your credit report will be spoiled. We also have the authority to seize your state ID and passport."
3,"Sir, once we block your bank account. you will not be able to make any transaction. I would advice you on clearing your debt with IRS right away before you face legal charges."
3,"Sir this has nothing to do with your cars. You are facing this charge because you have not filed your taxes the way you were supposed to. There has been a problem with your W-2 and W-4 form. You have also used the wrong forms to report your taxable income to us. IRS has now issued an arrest warrant against your name. As a penalty for your unpaid taxes, once you get arrested, all your properties will be seized by the IRS. To avoid the consequences, you have one final chance to repay the money you owe $5821 right now."
3,What are you talking about sir?
3,Sir are you talking to me? I am making a call to you today to talk about your federal debt of $5821.
3,You can pay back your debt today and we can make sure that no action is taken against your name. Do you have the money with you right now?
3,"Sir, we need you to pay us back right now so that we can close your file."
3,"Sir you can’t leave the call, if you do, we will be there at your workplace to arrest you. I am pretty sure you don’t want to be arrested at your workplace."
3,Sir this matter is confidential. IRS does not authorize you to discuss your tax debt with anyone other than the agent in charge - which is me.
3,Sir you leave me with no choice then to send the inspector over to arrest you. Aren’t you scared that you may lose your job?
3,"Fine, but do not tell him about the IRS situation. Tell him that you have an emergency at home, and you will have to leave."
3,"Sir, are you sure you never received anything showing $5281.00?"
3,"Let me explain it to you once again, sir."
3,"Okay, an audit of your taxes between the year of 2009 and 2014 show that you have unpaid taxes amount to $5,821. So, you owe $5,821 (..inaudible). After the case will be done within the courthouse, your bank account, state ID, and passport will be seized along with all the credit cards under your name."
3,"Sir, I can’t hear you. Please repeat."
3,Better.
3,"You filed your taxes but incorrectly for those years. Records show that some of your W-2 and W-4 forms have issues. Since those forms are unpaid, the IRS has issued an arrest warrant on your name. If you do not pay the taxes in time along with the late fees you will be arrested and each and every property will be seized like your house, your State ID your Visa, your driver’s license by IRS"
3,Sorry. Can you repeat?
3,"Sir, it’s about your Federal taxes."
3,Do you have the money ready?
3,Do you want this matter to be confidential?
3,"Okay, can I call you back, sir?"
3,"Sir, please understand the urgency. Once I hung up the call, I have a really small window, and IRS will arrest you from your office if no action is taken."
3,Pardon?
3,"If your boss knows you have an arrest warrant, won’t that put you in the risk of losing your job?"
3,"So, sir, you can perhaps convince him saying it’s a family emergency and get an hour window."
3,"Sir, I am speaking as appointed by IRS. You have outstanding tax due that we found during an audit. The amount due was $3000 and due to interest for the past 5 years, the new amount due is $3451. You need to pay us back as soon as possible if you don’t want us to file a lawsuit against you. If you talk about this to anyone else, they will be accomplices too. You need to pay us in cash only and as soon as possible. You will have a lawsuit against you and will be arrested in 24 hours if you fail to do so."
3,"This is because you filed taxes but your taxes have been filed incorrectly for the last 3 years years. There was some problem regarding a W-2 and W-4 form. So now regarding a W-2 and W-4 form unpaid, the IRS has issued an arrest warrant on your name. And now for these unpaid taxes, once you get arrested, your each and every property will be seized like your house, your State ID your Visa, your driver’s license. When the case will be done within the courthouse, your bank account will be seized, your credit report will be spoiled, your passport along with State ID will be seized. Each and every property that belongs to your name will be seized by the IRS…once you get arrested."
3,Do you have the money with you?
3,You want this matter to be confidential or want this matter to be disclosed regarding your case?
3,"In that case, you need to have the cash to pay what you owe. It’s best to withdraw the money from the bank."
3,"No Sir, the arrest warrant is almost ready. You need to go now."
3,"If you tell your employer that you are about to get arrested, you will be in trouble. You can tell your boss that you need to take care of an emergency family situation."
3,Okay
3,Put it in the red box outside the bank.
3,"Did you not receive a notice regarding the $5,821?"
3,"As I mentioned, you’ve been audited and upon closer inspection, you owe $5,821 to the IRS. If you don’t pay immediately, your bank accounts will be frozen, your legal documents including your passport will be deactivated, and your credit score will drop."
3,That is not the priority right now. You need to listen to me.
3,"Sir, this is an important matter, please cooperate with me."
3,"Okay. As I mentioned to you, you have not filed your taxes properly during the last five years. There were issues with both your W2 and W4 forms, so there are fees you have not paid for regarding these forms. If you do not pay these outstanding fees, the IRS will issue a warrant for your arrest, and all of your properties and assets will be seized. Your Visa and driver’s license will be terminated, and the IRS will seize everything you own."
3,what?
3,This is about your W2 and W4. Do you have the money that you owe the IRS?
3,Okay. Are you able to make a transfer now?
3,"Sir, we need you to do a wire transfer to halt the process of arresting you and seizing your assets."
3,let me know when you are ready
3,"Sir, you never received any documentation showing you owe $5,821.00?"
3,"Could I explain this to you again, sir?"
3,"All right, we have an audit of your taxes from the years 2009 and 2014. It shows that, right now, you owe the amount of $5,821 in late taxes. When the case is processed in court, your bank account will be frozen, your credit will be ruined, and your passport and state ID will be seized."
3,"Sir, I can’t hear you well. Could you stop walking and talk to me?"
3,"Yes, I can can."
3,"Sir, this is because your taxes have been filed incorrectly in regards to your W-2 and W-4 forms. Because your W-2 and W-4 forms have not been paid, the IRS has issued an arrest warrant in your name. Upon arrest, your property – such as your house, your state ID, your Visa, and your driver’s license – will be seized by the IRS."
3,Excuse me?
3,"This is regarding your federal taxes, sir."
3,Do you have the money with you right now?
3,"Would you prefer this matter remain confidential, or would you like for your case to be disclosed to others?"
3,"Alright, what time is best for me to reach out again?"
3,"Unfortunately, no sir. Once I hang up this call, you will be arrested, perhaps at your workplace. You will need to leave immediately, sir."
3,Excuse me?
3,"If you speak to your boss about the arrest warrant, don’t you think your job will be at risk?"
3,"When you talk to him, just tell him that you need to leave for an hour because of an emergency at home."
3,You did not receive $5821?
3,"Should I explain again, sir?"
3,"We audited your taxes for the last five years and you owe us $5821. If your case is processed in the courthouse, it will result in the seizure of your assets, tank your credit, and cause your travel privileges to be revoked."
3,"Sorry, I cannot hear you well. Can you go to a quiter place?"
3,"Yes, it is better"
3,"Sir, this is because there was a problem with your taxes. Your w2 and w4 forms were inaccurate. If you do not pay the IRS back now, your assests will be seized, even your cars."
3,Sorry?
3,We are talking about your taxes.
3,Do you have the money?
3,"If you want this confidential, say so."
3,How long will you need?
3,That is too long and you will be arrested if I hang up. You must leave now.
3,Please explain it to him. He will understand.
3,Say you have a family emergency and have to leave for an hour.
3,"Hi sir, did you get anything like 5,821.00?"
3,Could you let me to tell you another time?
3,"So, we see your tax history from 2009 to 2014, we notice that you owe $5,821. According to the rules your bank account and your passport along with State ID will be seized. Also, Your credit report will be lost."
3,"Excuse me, I cannot hear you clearly. Could you stop and talk to me"
3,Yes.
3,"This is sir, because you filed taxes but your taxes have not been filed correctly for those years. There were problems regarding a W-2 and W-4 form. So now regarding a W-2 and W-4 form unpaid, the IRS has issued an arrest warrant on your name. because of this unpaid taxes, when they arrest you, you’re each and every property will be seized everything like your house, your State ID your Visa, your driver’s license. Each and every property that belong to your name will be seized by the IRS…when you get arrested."
3,Pardon?
3,It is about your federal taxes.
3,Do you have the money now?
3,You require this affair to be confidential or want this affair to be disclosed regarding your case?
3,"So, how much time you need to reach you back?"
3,"No, because you got arrested once I hang up this call. You will be arrested from your work place sir. So what do you want to do is take a leave right now sir."
3,Sorry
3,"Today if you can utter to your boss that you are getting an arrest warrant, don’t you think your job will be at jeopardy?"
3,"Then that’s why you have to give way to him, say you’re having an emergency problem that you should leave the house… you have to leave for an hour."
3,"Sir, you did not get something that shows 5,821.00?"
3,Do you want more information about it?
3,"Our company realize that you have charged in your tax history around 2009 to 2014. When your case be done by courthouse. They have authority to seize your passport and your real ID. Also, they close your bank account and you will miss your credit score."
3,"Sir, could you speak more clear I cannot hear you."
3,It is good now.
3,"This is sir, you filed taxes but they are not filed correctly for those years. There was some problem regarding a W-2 and W-4 form. So now regarding a W-2 and W-4 form unpaid, the IRS going to arrest warrant on your name. And now for this unpaid taxes, when you get arrested, you’re each and every property will be seized like your house, your State ID your Visa, your driver’s license. All of your property will be seized by the IRS…once you get arrested."
3,"I didn’t understand, what?"
3,It is related to federal taxes.
3,"So, do you have the money now?"
3,You want this case be personally or want this problem to be reveal regarding your case?
3,"Sir, when can I reach you? How much time you need?"
3,No sir because once I hang up this call you are sure to be arrested. They arrest you at your work place sir. So what do you have to do is take a leave right now.
3,What?
3,"Now, if you talk to your boss about you are being arrest for sure, don’t you think your job will be at danger?"
3,One of the reason you should go to see him is to tell him about an emergency sitiuation that you should leave the house for an hour.
3,"Sir, did you got anything showing 5,812.00?"
3,Can I describe it to you one more time?
3,"Our team watch your taxes record between 2009 and 2014, and they realized that you should pay $5,821. So, if courthouse finish your case, your credit score will lose and they close your bank account. Also, they seize your passport and ID."
3,"Sir, I cannot hear you clearly. Could you stop walking?"
3,"Yes, thank you."
3,"This is sir, because your taxes have not been filed in correct for those years. W-2 and W-4 form have some problems. So now regarding a W-2 and W-4 form unpaid, the IRS has issued an arrest warrant on your name. And now for this unpaid taxes, once you get arrested, you’re each and every property will be seized like your house, your State ID your Visa, your driver’s license. when you get arrested, all of your property that belong to your name will be seized by the IRS…"
3,Sorry?
3,It is about your federal taxes.
3,Do you have the money with you now?
3,You want this affair to be privately or require this affair to be disclosed with regard to your case?
3,"Okay, how much time do you need to call you back?"
3,"No sir, be sure once I hang up this call you are to be arrested. They arrest you at your work place sir. So what do you have to do when it takes happen right now sir."
3,What?
3,"Today if you can see and talk to your boss that you are getting an arrest warrant, don’t you think your job will be at danger?"
3,"Because you have an emergency, so you you have to leave the house. This is a reason that you should go to see him. you have to leave for an hour."
3,"Hi sir, you didn’t get 5,821.00 yet?"
3,Do you want to know more about it?
3,"I want to tell you that your history has some problems that you owed $5,821 for tax between year 2009 to 2014. When your case done by courthouse they will close your bank account. In addition, your credit score will be spoiled, and they will seize your passport and your real ID."
3,"Excuse me sir, could you stop walking and talk to me? I cannot hear you well."
3,It is better now.
3,"This is sir, because you filed taxes but your taxes have not been filed in correct for those years. There was some problem regarding a W-2 and W-4 form. For unpaid taxes, the IRS has issued an arrest warrant on your name. Once you get arrested, you’re each and every property will be seized like your house, your State ID your Visa, your driver’s license. Each and every property that belong to your name will be seized by the IRS…when you get arrested."
3,What?
3,It is related to federal taxes.
3,"So, do you have the money right now?"
3,"Yes, I have it, but I do not know how to deal with this problem."
3,"Sir, how much time to catch you back sir?"
3,"No sir, be sure you got arrested once I hang up this call. You will be arrested from your work place sir. So what do you have to do if it takes a leave right now sir."
3,Sorry
3,Don’t you think your job will be at risk if you do not talk to your boss that you are getting an arrest warrant?
3,The reason you should to find a way to talk to him is you have an emergency problem Thus you have to leave for the house... you have to leave for an hour.
4,"This message is urgent. Please listen closely. There has been a law suit filed against you. If you do not respond to this suit, your bank account and tax return will be suspended by the court of law. To learn about your rights and details about your case, and to avoid further proceedings, please contact our firm at 1-844-898-XXXX*. Or, you may press “one” to be transferred to your case manager on this call."
4,"Hello, due to a mismatch on your employment records, your tax returns have been temporarily suspended. Please call 1-800-232-5290 to verify the correct records and lift the suspension. If you do not call within 30 days, your account will be marked as fraudulent and the suspension will be permanent. Thank you and have a good day."
4,"Your bank accounts and tax returns are under review. To prevent suspension and seizure, please contact our case manager at 1-844-655-4562 immediately."
4,"Hello, my name is X, and I am a representative of Y bank. We have recieved an anonymous tip that you have been recieving money from fraudulent sources. Our private investigator has determine these statements to be true, and thus we will be suspending your bank account and seizing all money left within, effective immediately. To review your rights and details, please contact us at <phone-number>. That is, <phone-number>"
4,"Please listen to this message in its entirety. You are receiving this call from Bank of America regarding your credit card bills. It has been noticed by our systems that you haven't paid your credit card bill for the last 2 months. You are currently $25000 in debt. If we do not hear back from you by this Sunday we will start legal proceedings. For the time being your bank account as well as your tax return in your name have been frozen. If you want to avoid these legal proceedings kindly reach back to us at 1-844-898-XXXX*, or you may press ""one"" to be transferred to your case manager immediately."
4,"We encourage you to listen to this message with caution. We have noticed some dubious activity in your bank account and hence we've filed a motion to suspend your bank account and tax returns under your name and social security number until further notice. To review immediate rights, details and to avoid further proceedings, please contact our firm at 1-844-898-XXXX*, or press ""one"" to be transferred to your case manager immediately."
4,We are calling you from the IRS. We are calling to let you know that we are preparing a motion to suspend all tax accounts and tax returns on your name and social security number. We have forwarded your information to a third party firm to send you more information and also investigate. We recommend you to call 1-844-898-XXXX* to resolve your identity and avoid further proceedings.
4,Do not hang up. An order has been released to freeze all bank accounts and halt all tax returns associated with your name and social security number. Contact us at 1-844-898-XXXX* or press one to be transferred to your case manager and hear your rights. We need to hear from you in order to avoid taking further action.
4,"Please listen to the entirety of this message. A motion has been filed to suspend all bank accounts and tax returns with your name and social security number. In order to avoid all proceedings and review case details, please contact our firm at 1-844-898-XXXX*. Or press “one” to speak with your case manager now."
4,"Please listen closely. You are being notified that your bank accounts and tax returns are being suspended. To review your rights and to avoid further action, please call out fir at 1844898XXX or press 1 to speak to your case manager immediately."
4,"Please listen to this message carefully. All bank accounts and tax returns bearing your name have been suspended and this also includes your social security number. To get more information about your rights and details on this action, and also to avoid all further proceedings, contact our firm at 1-848-898-XXXX*, or you can press ""one"" to get transferred to your case manager as soon as possible."
4,"Please listen to this message in its entirety. There is currently a motion being filed to suspend all bank accounts and tax returns bearing your name and social security number. To review immediate rights and details, and avoid all further proceedings, please contact our firm at 1-844-898-XXXX*, or you may press ""one"" to be transferred to your case manager immediately."
4,"Notice the message in full. For your social number now, an attempt is made to suspend all bank accounts and tax receipts. Contact No. 1-844-898-XXXX for more details. You can also press one to connect to your case manager immediately."
4,"We have recently noticed suspicious transactions related to your account. According to the new banking and tax laws, all your accounts will be blocked in 3 days. For more information and to prevent your account from being blocked, call the number XXX as soon as possible."
5,"Hello, is this Mrs. Johnson? My name is Tim Thayer. I'm calling today to offer you an excellent opportunity. Do you have a minute to hear how you can make a lot of money in just a few short months?"
5,"I am with the International Mining Company, and for a limited time we are selling stock in high-yield gold and silver mines in southern Texas. We guarantee that for each $1,000 you invest you will receive a $3,000 return on your money in just six months. There is no risk of loss. How does that sound?"
5,"I understand, Mrs. Johnson, and I appreciate your concern. However, you don’t need to know about the product in order to invest. For example, you probably don't know how to build a car—and neither do I—but that wouldn't keep us from investing in General Motors or Ford stock if we knew we would earn a lot of money. Doesn’t it make sense to look at the return on your investment and leave the mining to us, Mrs. Johnson?"
5,"The truth is, Mrs. Johnson, CDs are scams. The same goes for other common investments like savings deposits, Treasury bills, municipals, and blue-chip stocks. Your money just earns a pitiful 1 to 6 percent a year and the rich will stay rich and the poor will stay poor. What I'm talking about is putting an end to that. This is your chance to get a real return on your money and invest in the future of technology. Probably the hardest thing to do, Mrs. Johnson, is to make a decision. This one is an easy decision to make: your money will triple in return value!"
5,"I have plenty of information to help you make an educated decision. If you are a serious investor, you can check everything out. Our company has offices throughout the United States, Europe, and the Pacific Rim, and we are reputable internationally for good management. As a matter of fact, the Securities and Exchange Commission recently listed our company as the #1 investment company in safety and yield over the next 10 years. So, can you make a decision to invest today?"
5,"I’ll send all the information you request about our company and our highly trained mining engineers. We have a great deal of research reports on the mining stock market if you care to study them. And, by the way, Mrs. Johnson, do you have the cash at hand to take advantage of this amazing investment opportunity?"
5,"There’s no need, this company is rock solid. You saw what happened to the economy recently. And now the banks are in trouble. I wouldn't entrust banks with my money these days. To be safe, I’d invest money in our company. How many units of stock are you prepared to buy today?"
5,"Oh, I'm not sure."
5,"Mrs. Johnson, this offer is only valid for today. The opportunity will be gone tomorrow. You're not a procrastinator, are you? This is too good an offer to pass up. A courier can be at your house by 3:00 today. Just have your check or cash for $10,000 ready. You won't regret investing with us."
5,"Hi! My name is Josie, calling on behalf of the Heartwarming Hearth and Home Organization. I’m just calling to share with you some information about an amazing investment opportunity that helps provide homes for the homeless. May I ask who I’m speaking to?"
